Name,CodigoProvincia,CCAA,Population,TotalCensus,AbstentionPtge,AbstencionAlta,Izda_Pct,Dcha_Pct,Otros_Pct,Izquierda,Derecha,Age_0-4_Ptge,Age_under19_Ptge,Age_19_65_pct,Age_over65_pct,WomanPopulationPtge,ForeignersPtge,SameComAutonPtge,SameComAutonDiffProvPtge,DifComAutonPtge,UnemployLess25_Ptge,Unemploy25_40_Ptge,UnemployMore40_Ptge,AgricultureUnemploymentPtge,IndustryUnemploymentPtge,ConstructionUnemploymentPtge,ServicesUnemploymentPtge,totalEmpresas,Industria,Construccion,ComercTTEHosteleria,Servicios,ActividadPpal,inmuebles,Pob2010,SUPERFICIE,Densidad,PobChange_pct,PersonasInmueble,Explotaciones
Abadía,10,Extremadura,336,282,20.213,0,60.444,35.555,1.778,1,0,3.869,18.155,55.059,26.785,44.048,0.89,79.762,0.298,19.345,2.381,54.762,42.857,4.762,9.524,11.905,73.81,15,0,0,0,0,Otro,216,326,4507.5593,MuyBaja,3.07,1.56,28
Abertura,10,Extremadura,429,364,25.275,0,54.779,44.118,0.368,1,0,1.632,13.055,56.643,30.304,50.117,1.63,90.909,2.797,7.226,16.216,32.432,51.351,8.108,8.108,10.811,67.568,11,0,0,0,0,Otro,382,459,6270.7646,MuyBaja,-6.54,1.12,67
Acebo,10,Extremadura,569,569,27.241,0,44.203,53.14,0.966,0,1,1.23,9.139,54.834,36.028,49.033,0.7,78.91,0.703,18.102,8.197,36.066,55.738,22.951,9.836,13.115,49.18,49,0,0,0,0,Otro,918,674,5702.1,MuyBaja,-15.58,0.62,74
Acehúche,10,Extremadura,822,704,30.114,1,50.813,45.325,0,1,0,4.258,14.964,60.098,24.94,51.095,0.12,93.917,0.487,5.109,7.407,61.111,31.481,16.667,5.556,16.667,59.259,50,0,0,0,0,Otro,599,842,9106.4649,MuyBaja,-2.38,1.37,66
Aceituna,10,Extremadura,623,540,30.185,1,44.562,49.867,0.796,0,1,3.531,15.569,59.391,25.042,48.154,0.64,93.258,0.161,4.173,15.385,48.077,36.538,21.154,0,11.538,61.538,22,0,0,0,0,Otro,394,625,4007.6141,MuyBaja,-0.32,1.58,96
Ahigal,10,Extremadura,1421,1263,22.565,0,53.068,45.501,0.409,1,0,3.167,13.301,56.509,30.19,47.783,0.56,92.963,0.633,6.334,4.225,47.887,47.887,21.127,5.634,12.676,56.338,90,5,18,56,11,ComercTTEHosteleria,"1,023","1,451",5207.3458,MuyBaja,-2.07,1.39,281
Alagón del Río,10,Extremadura,923,826,30.024,1,59.343,37.89,0.692,1,0,4.009,14.843,63.489,21.667,49.296,0.98,86.241,1.192,12.459,9.091,35.065,55.844,9.091,15.584,12.987,54.545,45,0,0,0,0,Otro,423,879,1429.19,MuyBaja,5.01,2.18,99999
Albalá,10,Extremadura,730,629,27.027,0,37.037,60.567,0.218,0,1,1.644,12.055,52.055,35.89,49.863,3.56,87.397,1.233,8.904,15.686,29.412,54.902,5.882,1.961,27.451,52.941,26,0,0,0,0,Otro,879,795,3849.4679,?,-8.18,0.83,123
Alcántara,10,Extremadura,1571,1320,22.803,0,46.81,50.736,0.785,0,1,2.419,12.985,57.608,29.408,50.223,2.04,86.505,2.864,10.503,7.767,42.718,49.515,1.942,9.709,4.854,78.641,82,9,14,32,27,ComercTTEHosteleria,"1,246","1,630",55199.4783,MuyBaja,-3.62,1.26,215
Alcollarín,10,Extremadura,256,266,24.436,0,37.811,58.209,0.498,0,1,2.344,10.547,49.219,40.235,51.953,1.95,88.281,8.594,7.422,13.158,28.947,57.895,23.684,2.632,10.526,60.526,7,0,0,0,0,Otro,329,260,7991.5871,MuyBaja,-1.54,0.78,53
Alcuéscar,10,Extremadura,2759,2290,40.524,1,55.286,41.923,0.734,1,0,3.335,16.165,59.586,24.247,48.351,3.3,88.655,3.987,7.358,12.132,40.809,47.059,5.882,4.779,15.441,69.853,129,8,21,71,29,ComercTTEHosteleria,"1,825","2,974",10866.86,MuyBaja,-7.23,1.51,330
Aldea del Cano,10,Extremadura,667,595,21.681,0,61.159,37.339,0,1,0,1.499,9.145,61.02,29.837,52.624,2.1,88.606,4.948,8.246,7.317,31.707,60.976,7.317,7.317,3.659,80.488,30,0,0,0,0,Otro,585,727,2869.0443,MuyBaja,-8.25,1.14,54
Aldeacentenera,10,Extremadura,646,560,18.214,0,57.861,38.21,0.655,1,0,2.322,13.158,54.645,32.199,48.762,1.86,92.105,0.774,4.799,5.769,26.923,67.308,13.462,9.615,11.538,57.692,39,0,0,0,0,Otro,674,754,11056.2449,MuyBaja,-14.32,0.96,85
Aldeanueva de la Vera,10,Extremadura,2155,1852,26.026,0,49.489,47.956,0.365,1,0,3.295,14.479,59.444,26.079,51.23,1.07,90.394,0.65,7.889,14.458,39.157,46.386,22.289,4.217,18.072,49.398,96,6,24,44,22,ComercTTEHosteleria,"2,268","2,229",3760.1718,MuyBaja,-3.32,0.95,132
