ID,Beneficio,Compra,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,Etiqueta,CalifProductor,Clasificacion,Region,PrecioBotella
2,515,1,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,144,M,2,***,1,1
4,585,1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22,M,3,***,3,3.38
8,0,0,0.29,-0.4,21.5,0.06,0.99572,3.49,1.21,10.3,R,3,?,1,3.72
11,775,1,-1.22,0.34,1.4,0.04,1.03236,3.2,,11.6,B,2,***,2,6.23
12,596,1,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15,R,1,?,2,2.44
13,1083,1,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,R,3,****,2,4.31
15,596,1,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,R,5,**,1,4.75
16,499,1,0.33,-1.06,3,0.518,0.96643,3.55,-0.86,3.9,b,2,**,1,1.24
17,911,1,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12,MB,3,***,3,4.44
19,773,1,0.51,1.83,2.9,-0.165,0.9974,6.02,2.23,12.1,R,4,?,1,2.55
20,0,0,0.5,-0.11,6.1,0.071,0.9978,3.35,,6.8,R,3,?,2,4.23
22,0,0,0.6,0.06,50.4,0.069,0.9964,3.3,0.46,3.9,B,4,?,3,4.77
26,346,1,0.76,0.33,-26,-0.195,0.9885,3.07,0.56,11.4,M,1,*,1,5.26
27,364,1,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,M,2,*,3,3.06
29,552,1,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,b,3,?,2,2.52
32,776,1,0.17,0.34,15.6,0.044,0.99752,3.06,3.83,9.1,R,2,**,2,1.05
35,814,1,-2.46,0.27,13.2,0.036,0.99408,1.95,0.02,13,B,2,****,2,2.1
42,0,0,-0.28,-1.2,16.2,0.048,0.9972,3.3,0.52,2.1,R,1,?,,1.26
45,885,1,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,R,3,**,3,1.56
46,0,0,1.035,-1.11,6,0.073,1.03291,3.37,,9.9,B,5,?,2,1.31
50,604,1,1.65,-2.75,9.2,-0.002,0.9893,3.04,,9.7,R,3,*,3,3.2
51,0,0,0.47,0.3,41.7,-0.058,0.9976,1.33,,9.4,R,4,?,1,3.28
52,828,1,0.34,0.46,4.7,0.029,1.00111,1.42,1.74,17.3,B,2,**,2,3.91
53,806,1,0.14,-1.03,7.9,-0.379,1.0241,3.26,-0.38,13.7,B,2,**,2,2.37
54,199,1,1.75,0.36,52.3,0.075,1.02917,3.34,1.85,13.5,mm,4,*,3,1.64
55,531,1,0.36,0.5,-38.8,-0.291,1.00091,3.87,0.45,8.8,r,2,*,2,3.81
56,433,1,0.19,0.26,54,0.039,0.98998,3.32,,12.1,R,1,**,1,2.9
58,0,0,0.24,2.32,1.4,-0.356,1.03659,3.11,0.39,9.9,M,2,*,1,2.14
59,583,1,0.36,0.26,13.2,0.051,0.9976,3,1.62,10.8,B,2,*,1,1.28
65,0,0,1.63,1,1.9,0.846,0.96939,2.28,,4,B,9,?,3,3.23
66,0,0,0.42,0.32,2.5,0.601,0.99639,3.32,1.99,15.6,r,4,?,1,1.6
67,604,1,0.28,0.64,-47.1,0.512,0.9972,3.98,-1.06,9.2,B,3,**,2,1
70,511,1,0.28,0.35,2.1,1.197,0.95511,3.26,2.14,9.2,M,2,?,3,1.32
72,591,1,0.44,0.22,4.3,-0.992,1.02618,3.26,0.53,111,M,2,*,1,1.31
73,285,1,0.23,0.42,-3.8,0.094,0.99699,3.49,0.9,124,m,2,*,1,1
77,436,1,0.19,0.41,-36.7,0.046,0.9954,3.14,1.65,9.8,M,2,*,1,3.32
78,0,0,-0.68,3.26,-11.4,0.056,0.99755,4.12,-0.34,9.7,MM,1,?,3,1.86
