,ID,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,Region,PrecioBotella,Etiqueta,Clasificacion,prop_missings,Beneficio,Compra
0,2,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,101.0,2,1.0,1.0,M,***,0.0,515,1
1,4,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.0,3.38,M,***,0.0,585,1
2,8,0.29,-0.4,21.5,0.06,0.99572,3.49,1.21,10.3,3,1.0,3.72,R,?,0.0,0,0
3,11,-1.22,0.34,1.4,0.04,1.03236,3.2,0.57,11.6,2,2.0,6.23,B,***,7.6923076923076925,775,1
4,12,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.0,2.44,R,?,0.0,596,1
5,13,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,2.0,4.31,R,****,0.0,1083,1
6,15,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,1.0,4.75,R,**,0.0,596,1
7,16,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.0,1.24,b,**,0.0,499,1
8,17,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,3.0,4.44,MB,***,0.0,911,1
9,19,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,1.0,2.55,R,?,0.0,773,1
10,20,0.5,-0.11,6.1,0.071,0.9978,3.35,-1.88,6.8,3,2.0,4.23,R,?,7.6923076923076925,0,0
11,22,0.6,0.06,50.4,0.069,0.9964,3.3,0.46,3.9,4,3.0,4.77,B,?,0.0,0,0
12,26,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,1.0,5.26,M,*,0.0,346,1
13,27,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.0,3.06,M,*,0.0,364,1
14,29,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.0,2.52,b,?,0.0,552,1
15,32,0.17,0.34,15.6,0.044,0.99752,3.06,3.38,9.1,2,2.0,1.05,R,**,0.0,776,1
16,35,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.0,2.1,B,****,0.0,814,1
17,42,-0.28,-1.2,16.2,0.048,0.9972,3.3,0.52,2.1,1,3.0,1.26,R,?,7.6923076923076925,0,0
18,45,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,3.0,1.56,R,**,0.0,885,1
19,46,1.035,-1.11,6.0,0.073,1.03291,3.37,0.38,9.9,5,2.0,1.31,B,?,7.6923076923076925,0,0
20,50,1.65,-2.27,9.2,-0.002,0.9893,3.04,2.32,9.7,3,3.0,3.2,R,*,7.6923076923076925,604,1
21,51,0.47,0.3,41.7,-0.058,0.9976,1.33,0.82,9.4,4,1.0,3.28,R,?,7.6923076923076925,0,0
22,52,0.34,0.46,4.7,0.029,1.00111,1.42,1.74,17.3,2,2.0,3.91,B,**,0.0,828,1
23,53,0.14,-1.03,7.9,-0.379,1.0241,3.26,-0.38,13.7,2,2.0,2.37,B,**,0.0,806,1
24,54,1.75,0.36,52.3,0.075,1.02917,3.34,1.85,13.5,4,3.0,1.64,mm,*,0.0,199,1
25,55,0.36,0.5,-38.8,-0.291,1.00091,3.87,0.45,8.8,2,2.0,3.81,r,*,0.0,531,1
26,56,0.19,0.26,54.0,0.039,0.98998,3.32,0.98,12.1,1,1.0,2.9,R,**,7.6923076923076925,433,1
27,58,0.24,2.32,1.4,-0.356,1.03659,3.11,0.39,9.9,2,1.0,2.14,M,*,0.0,0,0
28,59,0.36,0.26,13.2,0.051,0.9976,3.0,1.62,10.8,2,1.0,1.28,B,*,0.0,583,1
29,65,1.63,1.0,1.9,0.846,0.96939,2.28,-0.63,4.0,9,3.0,3.23,B,?,7.6923076923076925,0,0
30,66,0.42,0.32,2.5,0.601,0.99639,3.32,1.99,15.6,4,1.0,1.6,r,?,0.0,0,0
