,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_sqr,Densidad_raiz4,pH_sqrt,Sulfatos_log,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,aleatorio_exp,aleatorio2_cuarta,Beneficio
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,11.2,2,1.0,M,***,1.0,7.6923076923076925,0.8546758468424045,0.7898017797099661,8.309692455502395,5.573396220385179,13.636545175375067,2.4989103148252663,1.4529331297487582,1.8273443303330212,1.1818437626361404,1.779231852320743,1.3645593560288818,1e-08,18.929070496530198,54.57141505336877,515
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,3.0,0.0,0.5805992456647799,0.5083227779585171,37.42227238131819,5.132738376365246,11.26265768171878,9.285557997082101,1.334062311994449,1.7170099076692726,1.1062087583132072,2.4936270853145297,1.6712221139600012,2.6034682531325197,7.370572884432684,9.36217838161377,585
2,-1.22,0.34,1.4,0.04,1.03236,3.2,0.64,11.6,2,6.23,B,***,2.0,7.6923076923076925,0.12674724791185976,0.1834694493917679,1.1722134088067866,21.566660754236345,8.74160027482645,9.343681503376326,1.4669761189077763,1.7516993159108047,1.1617768213000939,1.810724140316208,1.3645593560288818,12.571074920209474,1.545914189261877,0.15874687952017386,775
3,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,2.0,0.0,0.18725659295449426,0.6805291591346995,9.157458189220398,49.72799231354871,10.563705510718428,8.453914620074862,1.338270760639726,2.38128789506939,1.024381560928629,2.0590525249295606,0.9649150833430776,0.9531439503683569,1.9037991973545254,30.078642674217647,596
4,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,2.0,0.0,0.34525805973358337,0.1772027757935576,5.697821499386788,22.873544668585676,8.812236787848947,4.204791172102921,1.0636626272817344,1.7038193042871266,1.1982639933162398,1.8871570502615278,1.6712221139600012,5.035460976092138,3.279187016874702,0.1381375843737281,1083
5,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,1.0,0.0,0.904606118633923,0.5468018560376777,8.76700635337258,25.729692801047534,10.399672843535484,6.020484245406933,1.5442672845384544,1.668134512362097,0.7289296892170956,1.6979476329630379,2.1575230219663686,6.463105435670375,22.47780120416019,12.535832794968764,596
6,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,1.0,0.0,0.9575351421074486,0.2951224377238516,9.63722869738497,4.15304938293947,9.025851778716826,20.92107458662092,1.1944532188185222,1.8960177151195352,0.45505613847576365,1.049950140772831,1.3645593560288818,0.026503346980088355,26.96871306640512,1.0633524174245403,499
7,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,3.0,0.0,0.922645754042816,0.8152769941370921,9.556416316846391,21.566660754236345,8.723985559378125,9.382531255712264,1.1237293917155065,1.6316694766421278,1.5761999820781123,1.8416779958328868,1.6712221139600012,5.438744654118537,23.917479727638543,61.960899967419955,911
8,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,1.0,0.0,0.315395208506408,0.0501780321652705,11.150034582842142,124.50584353393879,9.007952821301773,5.7891066201308305,1.3431715845886592,2.483320932603506,1.5917038505228018,1.849335508321254,1.9297524380738358,1.1043089551315497,2.958924706614452,0.000885059106772339,773
9,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,1.0,0.0,0.7287202382975754,0.34478725231159935,13.434039141430127,21.31438440173779,4.57960160434001,5.339952368449929,1.3054638779196126,1.694968540734454,1.134378716360675,1.7950470601959958,0.9649150833430776,8.340533158576967,12.270978117291989,1.9811836479072884,346
10,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.06,M,*,3.0,0.0,0.2726643430532599,0.9972913053052802,8.922166332698326,19.172633809843806,5.62860754596815,5.532359343622352,1.388582197778361,1.7474008010675137,0.3466541042057666,1.6643227560403107,1.3645593560288818,1.9504785338907589,2.554285451572958,138.7422633906372,364
11,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.52,B,Desc,2.0,0.0,0.618201842190617,0.7498121636748232,9.799874213475514,31.799232196596794,9.242024947285273,15.894179084860726,1.2825254031047282,1.7474008010675137,1.4678612041817451,1.3238077217530888,1.6712221139600012,1.0619791857638905,8.388825235184843,44.32977906081621,552
12,0.17,0.34,15.6,0.044,0.99752,3.06,3.38,9.1,2,1.05,R,**,2.0,0.0,0.6899408981472034,0.2693544063556922,8.38506080930294,21.566660754236345,11.423259161501413,9.42146160656003,1.3436587261810873,1.6905257822016475,1.8170386851075189,1.6037837641820891,1.3645593560288818,0.0011556952356466777,10.737929500497552,0.7377859041278109,776
13,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.1,B,****,2.0,0.0,0.5575342679823249,0.5978972419955745,1e-08,19.861503278456823,10.944865625754272,9.266223794239941,1.329478699110035,1.0901072284359794,0.9267467735982186,1.9168770592719186,1.3645593560288818,0.5562197182012638,6.808146703652564,17.920742571961668,814
14,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,1.56,R,**,3.0,0.0,0.4387717520384594,0.32348249851650834,17.640167128549358,13.003134370846709,8.759232755397694,9.093122701918592,1.312049796070907,1.794118120769171,1.0511508536422203,1.8796536250993157,1.6712221139600012,0.14419472116709198,4.524071030868681,1.5349805725956143,885
15,1.65,-2.27,9.2,-0.002,0.9893,3.04,0.59,9.7,3,3.2,R,*,3.0,7.6923076923076925,0.8195034465899612,0.31810751105012625,23.29119209763104,1.0001000050001667,10.170282423514095,8.546454960554374,1.3089887354672234,1.6816050525335928,1.1447411718272207,1.6558098484641353,1.6712221139600012,2.224580562247749,16.771098034914832,1.4354560406319004,604
16,0.34,0.46,4.7,0.029,1.00111,1.42,1.74,17.3,2,3.91,B,**,2.0,0.0,0.6298374217690187,0.24988824662968634,9.71838132959468,24.837293088954297,9.332852118579584,9.131448563927636,1.357993426728306,0.6254312740547863,1.4777620481518445,2.211282181559607,1.3645593560288818,3.892015360625972,8.731550969029962,0.5464956903068655,828
17,0.14,-1.03,7.9,-0.379,1.0241,3.26,-0.38,13.7,2,2.37,B,**,2.0,0.0,0.611599160486406,0.4667532253072182,8.159976502914683,4.302267740204514,9.924662967632193,2.9818455000341064,1.4405165419409687,1.7772720939992088,0.7392919789070974,1.967807290966903,1.3645593560288818,0.8627385251519655,8.20036047346547,6.655020645693701,806
18,1.75,0.36,52.3,0.075,1.02917,3.34,1.85,13.5,4,1.64,MM,*,3.0,0.0,0.09308109699402045,0.5654013620507229,24.567161950816573,22.080206604480747,20.013314567504956,10.035188579400668,1.456927857306609,1.8108074349406316,1.5044945085202643,1.9533912998620935,1.9297524380738358,0.18832356320435806,1.3767934620057727,14.330687814095395,199
19,0.36,0.5,-38.8,-0.291,1.00091,3.87,0.45,8.8,2,3.81,R,*,2.0,0.0,0.7529496800904992,0.9185083728693035,9.881707349027474,26.034228598488962,3.0923713371254467,4.024523712957939,1.357206708675368,2.018958409021555,1.0954370196100445,1.5771272669780634,1.3645593560288818,3.6291320794008604,13.338036460282547,99.82608200127932,531
20,0.19,0.26,54.0,0.039,0.98998,3.32,0.57,12.1,1,2.9,R,**,1.0,7.6923076923076925,0.42547925097156536,0.3766921197453389,8.536818271917417,19.629173032280775,20.469204402565435,9.324286851650292,1.3119626341028041,1.802482093906701,1.1378448130493082,1.849335508321254,0.9649150833430776,1.6592780706471146,4.321781189226439,2.8228776608585857,433
21,0.36,0.26,13.2,0.051,0.9976,3.0,1.62,10.8,2,1.28,B,*,1.0,0.0,0.05240987275834719,0.9847686420225903,9.881707349027474,19.629173032280775,10.944865625754272,9.558352547807873,1.3439831931254627,1.6636200941148012,1.447760492713899,1.7471720168035931,1.3645593560288818,0.03606766928178346,1.1969681623184356,131.90344524490013,583
22,0.28,0.64,-47.1,0.512,0.9972,3.98,-1.06,9.2,3,1.0,B,**,2.0,0.0,0.656704514422823,0.14192008264698464,9.236569311403342,30.696318692092238,2.2835557595829195,20.74721978770201,1.3423585021410047,2.0595250251113146,0.30774149370553605,1.6125713454780422,1.6712221139600012,1e-08,9.577370296999975,0.05681418291651374,604
23,0.28,0.35,2.1,1.027,0.95511,3.26,2.14,9.2,2,1.32,M,Desc,3.0,0.0,0.6501091804046265,0.9936226260156473,9.236569311403342,21.821923041342732,8.865400706406488,38.310718057226374,1.122896125409079,1.7772720939992088,1.5717257944003602,1.6125713454780422,1.3645593560288818,0.04710259143253005,9.362440219363226,136.71184427513845,511
24,0.44,0.22,4.3,-0.923,1.02618,3.26,0.53,4.3,2,1.31,M,*,1.0,7.6923076923076925,0.9676632775323547,0.9151566961930188,10.548621493603738,18.726712867722608,9.260154851298294,1e-08,1.4473170153586186,1.7772720939992088,1.1239077550426675,1.1024750455770216,1.3645593560288818,0.04420599215899484,27.92527643324268,98.37686378521964,591
25,0.23,0.42,-3.8,0.094,0.99699,3.49,0.9,11.1,2,1.0,M,*,1.0,7.6923076923076925,0.7871155855897627,0.3790010114758565,8.84441621719989,23.695387234266697,7.849191624506383,10.42091489409893,1.3415031724234174,1.8720677266864976,1.245966385755967,1.7712712955134542,1.3645593560288818,1e-08,15.002215837364618,2.892738018783774,285
26,0.19,0.41,-36.7,0.046,0.9954,3.14,1.65,9.8,2,3.32,M,*,1.0,0.0,0.4811380420555391,0.9930391869082564,8.536818271917417,23.41821007037371,3.3164109372390187,9.460472555919624,1.33497338709807,1.7257476323658765,1.4553456864485816,1.6643227560403107,1.3645593560288818,2.4738635065105625,5.23418434347434,136.39100742141005,436
27,-0.06,-1.57,-41.4,0.027,0.99977,2.51,0.49,16.7,3,5.42,R,***,3.0,7.6923076923076925,0.8971441901593473,0.043399621595748394,6.737672344685519,2.2790367864100087,2.8258434651845716,9.093122701918592,1.3526960786141489,1.4250003725557157,1.1097737067514437,2.1725986731254032,1.6712221139600012,8.978795186196773,21.907933500790175,0.0004949164961675708,623
28,0.54,0.03,48.9,0.094,0.9982,4.0,0.8,9.2,5,1.13,M,*,1.0,0.0,0.5084689146468445,0.6356531822269981,11.412886824725508,14.975088778189058,19.11693725895617,10.42091489409893,1.3464092372577194,2.066815230406856,1.2144189500167075,1.6125713454780422,2.1575230219663686,0.007784241122098817,5.750386736170394,22.89502965003521,334
29,0.24,0.06,1.8,0.88,0.97646,4.22,-1.11,12.2,2,3.1,MM,*,3.0,0.0,0.22350657117761474,0.6545739301824479,8.922166332698326,15.513141168454158,8.812236787848947,32.75244054038742,1.248589596323972,2.1453731004288206,0.2672531699714863,1.8569614439563957,1.3645593560288818,2.0269551493242983,2.1567482362860977,25.74541734169059,186
30,0.24,0.84,6.4,0.048,0.9944,2.46,0.55,10.5,2,2.17,B,****,3.0,0.0,0.18531399481543054,0.44534148173141097,8.922166332698326,38.840834652261144,9.644986578966403,9.499564103791053,1.3308170032660043,1.3983638270596703,1.130900564047716,1.722735647246309,1.3645593560288818,0.629253682700734,1.891114309059859,5.515206784106503,1155
31,0.17,0.3,56.0,0.034,0.99152,3.55,0.49,5.7,2,1.49,M,***,2.0,0.0,0.48551972726731396,0.28822672330036025,8.38506080930294,20.57512370979586,21.012118480470157,9.227615837439496,1.318623870852697,1.8960177151195352,1.1097737067514437,1.2693096447120944,1.3645593560288818,0.11040739013918427,5.31370905292105,0.9673791158790938,361
32,0.24,-1.0,43.6,0.043,1.03256,4.02,0.07,10.1,2,1.35,B,***,2.0,0.0,0.16626446208727763,0.14581017390931794,8.922166332698326,4.456847487641403,17.760600710053026,9.401986356322166,1.467599263546428,2.0740798114401793,0.9478883820558418,1.6896041495811944,1.3645593560288818,0.056343864196530126,1.7711152594363668,0.06330711824572129,893
33,2.73,0.33,-16.8,-0.36,0.99082,4.14,0.58,16.9,2,1.32,R,***,3.0,7.6923076923076925,0.4360302517980742,0.005194632989196757,38.87227835563933,21.31438440173779,5.828331402857158,3.1937611239710733,1.3156085753243882,2.117143894428443,1.1412989373970328,2.1855692527284156,1.3645593560288818,0.04710259143253005,4.481589120815149,9.744666806205261e-08,517
34,-0.46,-0.09,3.3,0.096,1.00573,3.6,1.18,18.2,4,2.65,R,*,2.0,0.0,0.19798417081744946,0.2550965608301641,4.30136603357969,13.003134370846709,9.079655241699507,10.461940806254274,1.3757976200708972,1.9157473332885169,1.3293456933901255,2.2680707053591034,1.9297524380738358,1.251382498243853,1.975396633748209,0.5935133328293096,356
