,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
0,... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,... >= 7 years,4,male : divorced/separated,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
1,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,5951,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,bad
2,no checking account,12,critical account/ other credits existing (not at this bank),education,2096,... < 100 DM,4 <= ... < 7 years,2,male : divorced/separated,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,good
3,... < 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,... < 100 DM,4 <= ... < 7 years,2,male : divorced/separated,guarantor,4,building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,none,yes,good
4,... < 0 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : divorced/separated,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,bad
5,no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1 <= ... < 4 years,2,male : divorced/separated,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes,good
6,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,... >= 7 years,3,male : divorced/separated,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes,good
7,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
8,no checking account,12,existing credits paid back duly till now,radio/television,3059,... >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,good
9,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,unemployed,4,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
10,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,male : divorced/separated,none,1,"car or other, not in attribute Savings account/bonds",25,none,rent,1,skilled employee / official,1,none,yes,bad
11,... < 0 DM,48,existing credits paid back duly till now,business,4308,... < 100 DM,... < 1 year,3,male : divorced/separated,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,bad
12,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1567,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,1,"car or other, not in attribute Savings account/bonds",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
13,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (new),1199,... < 100 DM,... >= 7 years,4,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",60,none,own,2,unskilled - resident,1,none,yes,bad
14,... < 0 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",28,none,rent,1,skilled employee / official,1,none,yes,good
15,... < 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",32,none,own,1,unskilled - resident,1,none,yes,bad
16,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,... >= 7 years,4,male : divorced/separated,none,4,building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,none,yes,good
17,... < 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,... < 1 year,2,male : divorced/separated,none,3,"car or other, not in attribute Savings account/bonds",25,bank,own,3,skilled employee / official,1,none,yes,good
18,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,male : divorced/separated,none,2,unknown / no property,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
19,no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",31,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
20,no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,4,"car or other, not in attribute Savings account/bonds",48,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,good
21,... < 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : divorced/separated,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes,good
22,... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,... < 100 DM,... < 1 year,1,male : divorced/separated,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,good
23,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 <= ... < 500 DM,... < 1 year,3,male : divorced/separated,none,4,building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,none,yes,good
